Date,"""Date+Time""",PM2.5 Conc__(ug/m3),Wind'Speed (miles/h),Wind Direction (Degrees),Date,% RH,error,technician
5/18/2018,21:00,9,2,68,5/18/2018,,,
5/18/2018,22:00,9,1,90,5/18/2018,,,
5/18/2018,23:00,11,0,90,5/18/2018,,,
5/19/2018,0:00,11,0,,5/19/2018,,,
5/19/2018,1:00,13,0,,5/19/2018,,,
5/19/2018,2:00,10,1,113,5/19/2018,,,
5/19/2018,3:00,7,1,270,5/19/2018,,,
5/19/2018,4:00,4,2,270,5/19/2018,,,
5/19/2018,5:00,filter error,1,270,5/19/2018,,,
5/19/2018,6:00,5,0,270,5/19/2018,,,
5/19/2018,7:00,7,2,270,5/19/2018,,,
5/19/2018,8:00,8,1,135,5/19/2018,,,
5/19/2018,9:00,6,1,158,5/19/2018,,,
5/19/2018,10:00,6,3,23,5/19/2018,,,
5/19/2018,11:00,9,4,135,5/19/2018,,,
5/19/2018,12:00,6,6,68,5/19/2018,,,
5/19/2018,13:00,6,7,68,5/19/2018,,,
5/19/2018,14:00,4,8,68,5/19/2018,,flow,
5/19/2018,15:00,2,6,90,5/19/2018,,,
5/19/2018,16:00,7,6,68,5/19/2018,,,
5/19/2018,17:00,13,6,68,5/19/2018,,,
5/19/2018,18:00,8,6,68,5/19/2018,,,
5/19/2018,19:00,8,5,68,5/19/2018,,,
5/19/2018,20:00,9,3,68,5/19/2018,,,
5/19/2018,21:00,8,3,68,5/19/2018,,,
5/19/2018,22:00,8,2,68,5/19/2018,,,
5/19/2018,23:00,8,1,68,5/19/2018,,,
5/20/2018,0:00,11,1,293,5/20/2018,,,
5/20/2018,1:00,9,1,293,5/20/2018,,,
5/20/2018,2:00,9,1,248,5/20/2018,,,
5/20/2018,3:00,10,1,23,5/20/2018,,,
5/20/2018,4:00,9,1,68,5/20/2018,,,
5/20/2018,5:00,7,1,23,5/20/2018,,,
5/20/2018,6:00,8,1,0,5/20/2018,,,
5/20/2018,7:00,8,2,270,5/20/2018,,,
5/20/2018,8:00,8,3,225,5/20/2018,,,
5/20/2018,9:00,10,2,0,5/20/2018,,,
5/20/2018,10:00,8,4,0,5/20/2018,,,
5/20/2018,11:00,6,6,68,5/20/2018,,,
5/20/2018,12:00,8,8,68,5/20/2018,,out of limits,
5/20/2018,13:00,10,7,68,5/20/2018,,,
5/20/2018,14:00,8,7,68,5/20/2018,,,
5/20/2018,15:00,13,7,68,5/20/2018,,,
5/20/2018,16:00,13,7,68,5/20/2018,,,
5/20/2018,17:00,9,6,68,5/20/2018,,,
5/20/2018,18:00,8,6,68,5/20/2018,,,
5/20/2018,19:00,6,6,68,5/20/2018,,,
5/20/2018,20:00,14,4,68,5/20/2018,,,
5/20/2018,21:00,13,3,68,5/20/2018,,,
5/20/2018,22:00,10,3,68,5/20/2018,,,
5/20/2018,23:00,6,3,68,5/20/2018,,,
5/21/2018,0:00,4,2,90,5/21/2018,,,
5/21/2018,1:00,2,2,135,5/21/2018,,,
5/21/2018,2:00,3,2,90,5/21/2018,,,
5/21/2018,3:00,3,2,90,5/21/2018,,,
5/21/2018,4:00,1,3,90,5/21/2018,,,
5/21/2018,5:00,4,3,113,5/21/2018,,,
5/21/2018,6:00,9,3,135,5/21/2018,,,
5/21/2018,7:00,11,0,113,5/21/2018,,,
5/21/2018,8:00,6,2,158,5/21/2018,,,
5/21/2018,9:00,8,4,45,5/21/2018,,,
5/21/2018,10:00,6,3,23,5/21/2018,,,
5/21/2018,11:00,12,5,135,5/21/2018,,,
5/21/2018,12:00,9,4,90,5/21/2018,,,
5/21/2018,13:00,9,4,68,5/21/2018,,,
5/21/2018,14:00,11,5,68,5/21/2018,,,
5/21/2018,15:00,12,4,90,5/21/2018,,,
5/21/2018,16:00,8,3,68,5/21/2018,,,
5/21/2018,17:00,10,4,68,5/21/2018,,,
5/21/2018,18:00,6,6,135,5/21/2018,,,
5/21/2018,19:00,7,5,113,5/21/2018,,,
5/21/2018,20:00,8,4,90,5/21/2018,,,
5/21/2018,21:00,9,4,113,5/21/2018,,,
5/21/2018,22:00,10,2,90,5/21/2018,,,
5/21/2018,23:00,8,2,68,5/21/2018,,,
5/22/2018,0:00,7,2,68,5/22/2018,,,
5/22/2018,1:00,7,3,68,5/22/2018,,,
5/22/2018,2:00,10,2,68,5/22/2018,,,
5/22/2018,3:00,7,2,68,5/22/2018,,,
5/22/2018,4:00,7,3,68,5/22/2018,,,
5/22/2018,5:00,8,1,68,5/22/2018,,,
5/22/2018,6:00,6,0,,5/22/2018,,,
5/22/2018,7:00,4,1,68,5/22/2018,,,
5/22/2018,8:00,2,4,68,5/22/2018,,,
5/22/2018,9:00,1,3,68,5/22/2018,,,
5/22/2018,10:00,5,3,68,5/22/2018,,,
5/22/2018,11:00,4,4,135,5/22/2018,,,
